,age,Total Optimism,Total Mastery,Total positive affect,Total negative affect,tlifesat,tpstress,Total Self esteem,Total social desirability,Total PCOISS
0,24.0,22.0,22.0,49.0,39.0,23.0,29.0,34.0,4.0,51.0
1,39.0,19.0,21.0,35.0,35.0,30.0,22.0,27.0,5.0,40.0
2,48.0,19.0,19.0,74.0,14.0,33.0,19.0,24.0,8.0,47.0
3,41.0,26.0,26.0,49.0,36.0,33.0,31.0,29.0,3.0,63.0
4,23.0,18.0,23.0,85.0,11.0,16.0,27.0,29.0,4.0,46.0
5,31.0,17.0,23.0,81.0,12.0,10.0,21.0,39.0,10.0,43.0
6,30.0,10.0,9.0,84.0,37.0,5.0,39.0,20.0,3.0,25.0
7,23.0,25.0,21.0,85.0,38.0,25.0,39.0,20.0,4.0,35.0
8,18.0,13.0,12.0,84.0,34.0,8.0,43.0,38.0,5.0,27.0
9,23.0,9.0,13.0,74.0,39.0,5.0,46.0,33.0,2.0,20.0
10,27.0,30.0,25.0,41.0,33.0,23.0,23.0,40.0,2.0,48.0
11,34.0,28.0,26.0,37.0,25.0,31.0,16.0,30.0,6.0,43.0
12,35.0,16.0,17.0,84.0,20.0,5.0,34.0,34.0,5.0,52.0
13,43.0,20.0,18.0,74.0,39.0,8.0,42.0,29.0,3.0,29.0
14,50.0,17.0,21.0,74.0,16.0,27.0,19.0,33.0,5.0,65.0
15,57.0,14.0,15.0,91.0,37.0,7.0,30.0,31.0,3.0,57.0
16,37.0,19.0,23.0,74.0,39.0,14.0,40.0,40.0,6.0,38.0
17,41.0,21.0,16.0,91.0,24.0,21.0,42.0,38.0,4.0,66.0
18,19.0,17.0,14.0,91.0,36.0,9.0,44.0,40.0,3.0,37.0
19,25.0,26.0,25.0,86.0,39.0,20.0,33.0,25.0,9.0,66.0
20,23.0,14.0,20.0,91.0,19.0,17.0,39.0,31.0,1.0,41.0
21,53.0,13.0,11.0,74.0,35.0,23.0,42.0,34.0,4.0,60.0
22,47.0,25.0,20.0,46.0,32.0,32.0,29.0,30.0,6.0,74.0
23,36.0,14.0,21.0,31.0,39.0,20.0,34.0,23.0,7.0,56.0
24,21.0,21.0,17.0,36.0,37.0,23.0,31.0,40.0,2.0,46.0
25,26.0,24.0,20.0,38.0,14.0,20.0,34.0,39.0,4.0,54.0
26,48.0,20.0,15.0,31.0,39.0,19.0,37.0,210.0,5.0,37.0
27,24.0,26.0,18.0,33.0,37.0,27.0,31.0,30.0,2.0,63.0
28,25.0,21.0,23.0,91.0,15.0,25.0,20.0,39.0,4.0,64.0
30,18.0,29.0,22.0,86.0,32.0,27.0,26.0,36.0,6.0,64.0
31,24.0,9.0,12.0,74.0,32.0,11.0,41.0,34.0,7.0,21.0
32,36.0,22.0,21.0,86.0,13.0,27.0,16.0,240.0,5.0,65.0
33,49.0,27.0,26.0,91.0,14.0,25.0,18.0,32.0,8.0,72.0
34,21.0,26.0,26.0,91.0,20.0,27.0,21.0,27.0,5.0,63.0
35,45.0,16.0,25.0,46.0,10.0,27.0,27.0,39.0,6.0,62.0
36,18.0,19.0,20.0,91.0,10.0,25.0,27.0,34.0,5.0,63.0
37,45.0,16.0,20.0,74.0,23.0,30.0,28.0,28.0,6.0,60.0
38,69.0,21.0,17.0,33.0,37.0,26.0,33.0,230.0,4.0,66.0
41,24.0,28.0,24.0,44.0,10.0,31.0,12.0,22.0,7.0,74.0
42,22.0,10.0,22.0,40.0,17.0,11.0,34.0,40.0,2.0,50.0
43,43.0,18.0,19.0,86.0,18.0,19.0,37.0,28.0,7.0,47.0
45,30.0,19.0,20.0,43.0,26.0,20.0,35.0,23.0,6.0,40.0
46,46.0,17.0,17.0,40.0,29.0,30.0,37.0,39.0,8.0,64.0
